"Ukazatel","IndicatorType","Odvětví ekonomické činnosti","CZNACEMZDY","Velikostní skupiny podniků","KATPMZD","Šetření","ZJIST","Institucionální sektory-Sektor II","ISEKTORMZDH.ISEKTOR2","Institucionální sektory-Sektor V","ISEKTORMZDH.ISEKTOR5","Roky","CasR","ČR, regiony, kraje-Stát","Uz0123vm.STAT","ČR, regiony, kraje-Region","Uz0123vm.REGION","ČR, regiony, kraje-Kraj","Uz0123vm.KRAJ","Hodnota"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299A","Celkem","A-S","Úhrnem","0","ČR","0","Celkem","0","","","2000","2000","Česko","CZ","","","","","3894.3"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299A","Celkem","A-S","Úhrnem","0","ČR","0","Celkem","0","","","2001","2001","Česko","CZ","","","","","3936.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299A","Celkem","A-S","Úhrnem","0","ČR","0","Celkem","0","","","2002","2002","Česko","CZ","","","","","3836.5"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299A","Celkem","A-S","Úhrnem","0","ČR","0","Celkem","0","","","2003","2003","Česko","CZ","","","","","3837.4"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299A","Celkem","A-S","Úhrnem","0","ČR","0","Celkem","0","","","2004","2004","Česko","CZ","","","","","3846.6"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299A","Celkem","A-S","Úhrnem","0","ČR","0","Celkem","0","","","2005","2005","Česko","CZ","","","","","3907.1"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299A","Celkem","A-S","Úhrnem","0","ČR","0","Celkem","0","","","2006","2006","Česko","CZ","","","","","3934.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299A","Celkem","A-S","Úhrnem","0","ČR","0","Celkem","0","","","2007","2007","Česko","CZ","","","","","4003.4"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299A","Celkem","A-S","Úhrnem","0","ČR","0","Celkem","0","","","2008","2008","Česko","CZ","","","","","4037.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299A","Celkem","A-S","Úhrnem","0","ČR","0","Celkem","0","","","2009","2009","Česko","CZ","","","","","3815.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299A","Celkem","A-S","Úhrnem","0","ČR","0","Celkem","0","","","2010","2010","Česko","CZ","","","","","3786.1"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299A","Celkem","A-S","Úhrnem","0","ČR","0","Celkem","0","","","2011","2011","Česko","CZ","","","","","3773.3"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299A","Celkem","A-S","Úhrnem","0","ČR","0","Celkem","0","","","2012","2012","Česko","CZ","","","","","3775.1"
