"Ukazatel","IndicatorType","Šetření","ZJIST","Odvětví ekonomické činnosti","CZNACEMZDY","Institucionální sektory-Sektor II","ISEKTORMZDH.ISEKTOR2","Institucionální sektory-Sektor V","ISEKTORMZDH.ISEKTOR5","Roky","CasR","ČR, regiony, kraje-Stát","Uz0123vm.STAT","ČR, regiony, kraje-Region","Uz0123vm.REGION","ČR, regiony, kraje-Kraj","Uz0123vm.KRAJ","Hodnota"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2017","2017","Česko","CZ","","","","","1502852770.54579"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2018","2018","Česko","CZ","","","","","1651056844.68378"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2019","2019","Česko","CZ","","","","","1784782515.84066"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2020","2020","Česko","CZ","","","","","1838647726.09321"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2021","2021","Česko","CZ","","","","","1949429895.9361274"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2022","2022","Česko","CZ","","","","","2078803990.4799907"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2023","2023","Česko","CZ","","","","","2239331712.000857"
"Mzdy včetně ostatních osobních nákladů (tis. Kč)","697A","ČR","0","Celkem","A-S","Celkem","0","","","2024","2024","Česko","CZ","","","","","2374910921.5795417"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2018","2018","Česko","CZ","","","","","148204074.137994"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2019","2019","Česko","CZ","","","","","133725671.156879"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2020","2020","Česko","CZ","","","","","53865210.2525494"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2021","2021","Česko","CZ","","","","","110782169.842916"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2022","2022","Česko","CZ","","","","","129374094.54386322"
"Mzdy včetně ostatních osobních nákladů - meziroční rozdíl (tis. Kč)","697RROZ","ČR","0","Celkem","A-S","Celkem","0","","","2023","2023","Česko","CZ","","","","","160527721.52086613"
