"Ukazatel","IndicatorType","Odvětví ekonomické činnosti","CZNACEMZDY","Šetření","ZJIST","Kraje","Uz2","Roky","CasR","Hodnota"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Hlavní město Praha","CZ010","2010","2010","745"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Hlavní město Praha","CZ010","2011","2011","731.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Hlavní město Praha","CZ010","2012","2012","743.6"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Hlavní město Praha","CZ010","2013","2013","755.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Hlavní město Praha","CZ010","2014","2014","763.1"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Hlavní město Praha","CZ010","2015","2015","776.1"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Hlavní město Praha","CZ010","2016","2016","786.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Hlavní město Praha","CZ010","2017","2017","814.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Hlavní město Praha","CZ010","2018","2018","846.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Hlavní město Praha","CZ010","2019","2019","839.5"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Hlavní město Praha","CZ010","2020","2020","823.5"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Hlavní město Praha","CZ010","2021","2021","820.5"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Hlavní město Praha","CZ010","2022","2022","843.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Středočeský kraj","CZ020","2010","2010","365"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Středočeský kraj","CZ020","2011","2011","372.3"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Středočeský kraj","CZ020","2012","2012","374.6"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Středočeský kraj","CZ020","2013","2013","369.4"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Středočeský kraj","CZ020","2014","2014","374.7"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Středočeský kraj","CZ020","2015","2015","384.7"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Středočeský kraj","CZ020","2016","2016","393.5"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Středočeský kraj","CZ020","2017","2017","405.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Středočeský kraj","CZ020","2018","2018","407.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Středočeský kraj","CZ020","2019","2019","411.4"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Středočeský kraj","CZ020","2020","2020","408.7"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Středočeský kraj","CZ020","2021","2021","415.1"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Středočeský kraj","CZ020","2022","2022","416.7"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Jihočeský kraj","CZ031","2010","2010","217.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Jihočeský kraj","CZ031","2011","2011","215.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Jihočeský kraj","CZ031","2012","2012","214.4"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Jihočeský kraj","CZ031","2013","2013","212.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Jihočeský kraj","CZ031","2014","2014","214.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Jihočeský kraj","CZ031","2015","2015","217.8"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Jihočeský kraj","CZ031","2016","2016","217.9"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Jihočeský kraj","CZ031","2017","2017","222.1"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Jihočeský kraj","CZ031","2018","2018","223.2"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Jihočeský kraj","CZ031","2019","2019","223.5"
"Průměrný evidenční počet zaměstnanců přepočtený (tis. osob)","299AQ","Celkem","A-S","Pracovištní metoda","2","Jihočeský kraj","CZ031","2020","2020","219.7"
